Bursa, Iznik, Ayla Guler, COURIER
Elazig, Sivrice, Canperver Dag, COURIER
Gaziantep, Islahiye, Aynur Yildiran, CASHIER
Gaziantep, Sahinbey, Caneda Guler, COURIER
Gaziantep, Sahinbey, Aynur Gunes, CASHIER
Bursa, Gemlik, Bahriye Yasar, CASHIER
Izmir, Menemen, Abakay Buyuk, COOK
Gaziantep, Araban, Bahamra Toker, COOK
Bursa, Buyukcekmece, Benay Kocaman, COURIER
Istanbul, Sisli, Abadan Kuru, COOK
Bursa, Buyukcekmece, Canperver Gunay, COURIER
Izmir, Gaziemir, Aylin Kilic, CASHIER
Bursa, Iznik, Canan Kara, COOK
Elazig, Sivrice, Canperver Cebeci, COOK
Bursa, Gemlik, Filizer Aydemir, COOK
Istanbul, Sisli, Badem Akpinar, COOK
Izmir, Menderes, Abakay Durmaz, COURIER
Gaziantep, Sahinbey, Cavide Cengiz, COOK
Gaziantep, Sahinbey, Bakiye Genc, CASHIER
Izmir, Menemen, Canece Toker, COOK
Gaziantep, Araban, Bahar Yildiz, COURIER
Gaziantep, Sahinbey, Canfeda Taskin, COOK
Nevsehir, Acigol, Cansel Yigit, COOK
Elazig, Sivrice, Bahiye Tuncer, CASHIER
Gaziantep, Araban, Candan Sari, CASHIER
Istanbul, Sisli, Canay Kaya, COURIER
Istanbul, Maltepe, Balca Aktas, COURIER
Gaziantep, Islahiye, Asuman Ipek, COOK
Gaziantep, Sahinbey, Cannur Oz, CASHIER
Bursa, Gemlik, Abak Korkmaz, COURIER
Nevsehir, Acigol, Balkin Kucuk, CASHIER
Gaziantep, Sehitkamil, Balkin Toprak, COURIER
Gaziantep, Sehitkamil, Candan Demirci, CASHIER
Gaziantep, Sehitkamil, Balca Taskin, COOK
Bursa, Gemlik, Canece Ari, CASHIER
Izmir, Menemen, Celvetiye Yildirim, CASHIER
Gaziantep, Araban, Abakay Alp, COURIER
Izmir, Menderes, Ayla Gunes, CASHIER
Bursa, Buyukcekmece, Idris Gunay, CASHIER
Bursa, Gemlik, Beliz Seker, CASHIER
Malatya, Kuluncak, Benay Ozturk, COURIER
Malatya, Kuluncak, Abak Aydogan, COURIER
Bursa, Gemlik, Bahtiser Toprak, CASHIER
Gaziantep, Islahiye, Aysu Ay, CASHIER
Istanbul, Maltepe, Abendam Ari, COOK
Bursa, Iznik, Cahide Kaya, COURIER
Malatya, Kuluncak, Belen Erkan, COOK
Bursa, Iznik, Benay Yilmaz, COOK
Malatya, Kuluncak, Acarbike Tekin, CASHIER
Istanbul, Eyup, Can Aksoy, CASHIER
Istanbul, Maltepe, Acarhatun Aydogan, COURIER
Izmir, Menemen, Celvetiye Erturk, COOK
Gaziantep, Sehitkamil, Abakay Yasar, COURIER
Elazig, Sivrice, Ilbilge Guler, COURIER
Izmir, Menderes, Can Toprak, COOK
Gaziantep, Yavuzeli, Aysel Durmaz, COURIER
Izmir, Gaziemir, Cankat Arslan, COURIER
Istanbul, Eyup, Cannur Tasdemir, COOK
Istanbul, Maltepe, Cavlan Polat, CASHIER
Bursa, Buyukcekmece, Bahtiyar Alp, COOK
Gaziantep, Sahinbey, Adile Cetin, COURIER
Bursa, Buyukcekmece, Aysun Aydogan, COURIER
Istanbul, Eyup, Behin Temel, CASHIER
Elazig, Sivrice, Balkiz Yigit, COURIER
Gaziantep, Islahiye, Bakinaz Alp, COURIER
Istanbul, Maltepe, Mahiye Balta, COURIER
Malatya, Kuluncak, Bala Sarac, COURIER
Bursa, Gemlik, Alev Cebeci, CASHIER
Istanbul, Maltepe, Benan Cetin, COURIER
Gaziantep, Islahiye, Bakanay Ucar, COURIER
Izmir, Menemen, Balkin Ceylan, CASHIER
Elazig, Sivrice, Canece Yavuz, CASHIER
Bursa, Gemlik, Bahiye Gunay, COURIER
Bursa, Gemlik, Canal Celik, COOK
